得意先ｺｰﾄﾞ,得意先名１,得意先名２,得意先名略称,得意先名索引,郵便番号,住所１住所２住所３,電話番号,ＦＡＸ番号
734121,東洋ｱﾙﾐｴｺｰﾌﾟﾛﾀﾞｸﾂ株式会社,営業,東洋ｱﾙﾐｴｺｰﾌﾟﾛﾀﾞｸﾂ営,ﾄｳﾖｳｱﾙﾐ,550-0005,大阪市西区西本町1-4-1 ｵﾘｯｸｽ本町ﾋﾞﾙ 13F,06-6110-1311,06-6110-2282
734131,ﾄﾗｽｺ中山株式会社 大阪本社 　　　　　　#,大阪商品部 大阪PB商品課 松村様,ﾄﾗｽｺ中山 大阪本社,ﾄﾗｽｺﾅｶﾔﾏｶ,550-0013,大阪府大阪市西区新町1丁目34番15号ﾄﾗｽｺｸﾞﾚﾝﾁｪｯｸﾋﾞﾙ12階,06-6543-0940,06-6543-0941
734132,東洋化工株式会社,,東洋化工,ﾄｳﾖｳｶｺｳ,047-0261,小樽市銭函3丁目285番地,0134-62-3636,0134-62-6610
734141,東洋ｼｬｯﾀｰ株式会社奈良工場 製作2課･製作4ﾁｰﾑ 川口,,東洋ｼｬｯﾀｰ,ﾄｳﾖｳｼｬｯﾀｰ,636-0202,奈良県磯城郡川西町結崎1596-6,0745-43-0820,0745-42-2024
734151,X東京計器株式会社X,資材管理室 三谷,東京計器,ﾄｳｷｮｳｹｲｷ,144-8551,東京都大田区南蒲田2-16-46,03-3732-2111,03-3736-0261
734152,東京計器株式会社,資材管理室 三谷,東京計器 東京 三谷,ﾄｳｷｮｳｹｲｷ,144-8551,東京都大田区南蒲田2-16-46,03-3732-2111,03-3736-0261
734154,東京計器㈱ 検査機器ｼｽﾃﾑｶﾝﾊﾟﾆｰ,矢板工場 生産課 原,東京計器 矢板工場 原,ﾄｳｷｮｳｹｲｷ,329-2136,栃木県矢板市東町333-4,0287-47-4356,0287-43-2608
734162,東洋農機株式会社,,東洋農機,ﾄｳﾖｳﾉｳｷ,080-2462,帯広市西22条北1丁目2番5号,0155-37-3191,0155-37-5399
734166,東洋商事□,,東洋商事□,,,,,
734181,東ﾘ株式会社,,東ﾘ,ﾄｳﾘｶﾌﾞｼｷｶﾞ,664-8610,兵庫県伊丹市東有岡5丁目125番地,06-6494-6609,06-6494-1525
734192,東ﾚ株式会社,,東ﾚ 千葉,ﾄｳﾚ,299-0108,千葉県市原市千種海岸2番1,0436-23-0657,0436-23-0658
734202,東ﾚ株式会社 大阪本社 ﾄﾖﾗｯｸ事業部,大阪ﾄﾖﾗｯｸ販売課 前嶋,東ﾚ 大阪,ﾄｳﾚ,530-8222,大阪府大阪市北区中之島3-3-3中之島三井ﾋﾞﾙﾃﾞｨﾝｸﾞ28F,06-7688-3712,06-7688-3744
734206,ﾄｰﾓｸ□,,ﾄｰﾓｸ□,,,,,
734215,十川産業大阪□,,十川産業□,,,,,
734225,ﾄｯﾌﾟﾏﾝ工業□,,ﾄｯﾌﾟﾏﾝ工業□,,,,,
734235,ﾄﾖﾀL&F大阪□,,ﾄﾖﾀL&F大阪□,,,,,
734242,株式会社ﾄｰｺｰ,,ﾄｰｺｰ,ﾄｰｺｰ,630-0142,奈良県生駒市北田原町1208-6,0743-71-0151,0743-71-0551
734245,豊田商会□,,豊田商会□,,,,,
734252,ﾄﾞｰﾋﾟｰ建設工業株式会社,工務部,ﾄﾞｰﾋﾟｰ建設工業,ﾄﾞｰﾋﾟｰ,110-0015,東京都台東区東上野2丁目1-11ｻﾝﾌｨｰﾙﾄﾞﾋﾞﾙ 5階,03-5806-5416,03-5806-5419
734261,十川産業株式会社 名古屋営業所,,十川産業 名古屋,ﾄｶﾞﾜｻﾝｷﾞｮｳ,454-0871,愛知県名古屋市中川区柳森町2117,052-353-5600,052-353-8602
734262,ﾄﾞｰﾋﾟｰ建設工業株式会社,幌別工場,ﾄﾞｰﾋﾟｰ建設工業 幌別,ﾄﾞｰﾋﾟｰ,059-0003,北海道登別市千歳町1-21-1,0143-85-2221,0143-85-5171
734271,株式会社ﾄｸﾔﾏ,,ﾄｸﾔﾏ,ﾄｸﾔﾏ,529-1835,滋賀県甲賀市信楽町中野556,0748-69-5542,
734272,株式会社ﾄｰｺｰ　商品開発部　商品開発課　飯田様,,ﾄｰｺｰ　商品開発部　商品開発課,ﾄｰｺｰ,630-0142,奈良県生駒市北田原町1208-6,0743-71-0151,0743-71-0551
734281,特許機器株式会社 生産企画部 購買2課 有水様,,特許機器株式会社 生産企画部購買2,ﾄｯｷｮｷｷｶﾌﾞｼ,660-0833,兵庫県尼崎市南初島町10番地133尼崎ｺｽﾓｽ工業団地内,06-6487-3936,06-6487-3950
734291,ｺﾆｶﾐﾉﾙﾀﾒｶﾄﾛﾆｸｽ株式会社,,ｺﾆｶﾐﾉﾙﾀﾒｶﾄﾛﾆｸｽ株式会社,ｺﾆｶﾐﾉﾙﾀ,441-8134,豊橋市植田町字北柄沢1,0532-25-9526,0532-25-1330
734311,有限会社ﾄﾗｯﾄﾞ,,ﾄﾗｯﾄﾞ,ﾄﾗｯﾄﾞ,577-0028,大阪府東大阪市新家西町3-10,06-6787-0027,06-6787-0047
734321,鳥居金属興業株式会社,,鳥居金属興業,ﾄﾘｲｷﾝｿﾞｸ,577-0815,東大阪市金物町3-7,06-6723-2433,06-6725-7712
740016,ﾅｲｶﾞｲ□,,ﾅｲｶﾞｲ□,,,,,
740021,有限会社ﾅｶｲｻﾝﾌﾟﾙ　　　　　740021,,ﾅｶｲｻﾝﾌﾟﾙ,ﾅｶｲｻﾝﾌﾟﾙ,802-0832,福岡県北九州市小倉南区下石田2丁目11-5,093-963-0180,
740025,長井商会□,,長井商会□,,,,,
740031,有限会社ながお食研　　　　740031,,ながお食研,ﾅｶﾞｵｼｮｸｹﾝ,170-0001,東京都豊島区西巣鴨1-9-2,03-3949-0185,03-3940-3391
740042,ﾅｶ工業株式会社 東京工場,製造3課 秀,ﾅｶ工業 東京工場 秀,ﾅｶｺｳｷﾞｮｳ,340-0807,埼玉県八潮市新町39,048-936-0330,048-936-7450
740045,ﾅｶﾞﾄ□,,ﾅｶﾞﾄ□,,,,,
740052,ﾅｶ工業株式会社 東京工場,製造一課 石井,ﾅｶ工業 東京工場 宮川,ﾅｶｺｳｷﾞｮｳ,340-0807,埼玉県八潮市新町39,048-936-1115,048-936-7450
740062,ﾅｶ工業株式会社 滋賀工場,製造三課一係 高畑,ﾅｶ工業 滋賀工場 高畑,ﾅｶｺｳｷﾞｮｳ,528-0062,滋賀県甲賀市水口町さつきが丘24,0748-63-2620,0748-63-1155
740065,中本ﾊﾟｯｸｽ□,,中本ﾊﾟｯｸｽ□,,,,,
740072,ﾅｶ工業株式会 札幌工場,,ﾅｶ工業 札幌工場,ﾅｶｺｳｷﾞｮｳ,063-0836,北海道札幌市西区発寒十六条13丁目2-50,011-662-7611,011-6661350
740075,中山運送□,,中山運送□,,,,,
740081,中西ﾌﾟﾗｽﾁｯｸ株式会社,,中西ﾌﾟﾗｽﾁｯｸ㈱,ﾅｶﾆｼﾌﾟﾗｽﾁｯ,550-0004,大阪府大阪市西区靱本町1丁目16番14号,06-6443-4081,06-6445-0865
740092,株式会社ﾅﾆﾜ 本社営業部,,ﾅﾆﾜ,ﾅﾆﾜ,581-0027,大阪府八尾市八尾1丁目233,072-922-0245,002-991-3779
740095,南海樹脂工業所□,,南海樹脂工業所□,,,,,
740101,株式会社ﾅﾉﾏﾃｯｸｽ,,ﾅﾉﾏﾃｯｸｽ,ﾅﾉﾏﾃｯｸｽ,562-0034,大阪府箕面市船場東3丁目11-10コモンズビル　5Ｆ,072-736-9527,072-736-9527
741015,西村司法書士事務所□,,西村司法書士事務所□,,,,,
741026,日輝通商□,,日輝通商□,,,,,
741031,ﾆｯｸｽ株式会社 C,,ﾆｯｸｽ㈱,ﾆｯｸｽ,542-0081,大阪市中央区南船場4丁目12-12ﾆｯｾｲ心斎橋ｳｪｽﾄﾋﾞﾙ9階,06-7166-0065,06-6241-1871
741035,ﾆｯｸｽ容器包材□,,ﾆｯｸｽ容器包材□,,,,,
741056,日軽物流札幌営業所□,,日軽物流札幌営業所□,,,,,
741062,株式会社ﾆｯｸｽ ｸﾞﾛｰﾊﾞﾙ事業本部,資材統括ｾﾝﾀ- 田中,㈱ﾆｯｸｽ ｸﾞﾛｰﾊﾞﾙ事業 石,ﾆｯｸｽ,252-1461,神奈川県相模原市緑区青野原2111,042-787-1131,042-787-0523
741066,北海道日産自動車ﾌｫｰｸ□,,北海道日産自動車ﾌｫｰｸ□,,,,,
741071,株式会社ﾆｯｸｽ ｸﾞﾛｰﾊﾞﾙ事業部,CSｾﾝﾀｰ,㈱ﾆｯｸｽ ｸﾞﾛｰﾊﾞﾙ事業,ﾆｯｸｽｸﾞﾛ,220-6108,神奈川県横浜市西区みなとみらいｸｲｰﾝｽﾞﾀﾜｰB(8階),045-221-1350,042-221-1355
741076,北海道日産自動車□,,北海道日産自動車□,,,,,
741081,日軽ﾊﾟﾈﾙｼｽﾃﾑ株式会社,商品開発部 井上,日軽ﾊﾟﾈﾙｼｽﾃﾑ,ﾆｯｹｲﾊﾟﾈﾙｼｽ,529-0122,滋賀県長浜市酢500,0749-73-3081,0749-73-4417
741086,日本通運ｺﾝﾃﾅ□,,日本通運ｺﾝﾃﾅ□,,,,,
741092,株式会社日新複層硝子,,日新複層硝子,ﾆｯｼﾝﾌｸｿｳ,816-0092,福岡県福岡市博多区東那珂2丁目41608,092-472-6641,092-474-9944
741101,日邦産業株式会社,ｴﾚｸﾄﾛﾆｸｽ事業本部,日邦産業,ﾆｯﾎﾟｳｻﾝｷﾞｮ,564-0063,大阪府吹田市江坂町1-23-28 江坂南口ﾋﾞﾙ,06-6386-1211,06-6380-2559
741106,日東電材□,,日東電材□,,,,,
741112,ﾆｯﾎﾟ電工株式会社 電工購買G,,ﾆｯﾎﾟ電工,ﾆｯﾎﾟﾃﾞﾝｺｳ,010-0201,秋田県潟上市天王字塩口北野81-1,018-878-5151,018-878-5154
741121,ﾆﾌﾟﾛ株式会社 購買課　　　　　*,,ﾆﾌﾟﾛ　　　*,ﾆﾌﾟﾛｶ,525-0055,滋賀県草津市野路町3023番地,077-564-0506,077-564-2279
741126,日本通運(日通航空)□,,日本通運(日通航空)□,,,,,
741132,日本ｱｲ･ｴｽ･ｹｲ株式会社,,日本ｱｲ･ｴｽ･ｹｲ,ﾆﾎﾝｱｲｴｽｹｲ,004-0873,札幌市清田区平岡3条2丁目13-1,011-888-1111,011-881-2514
741136,日本ｻｯｼｭ□,,日本ｻｯｼｭ□,,,,,
741145,日本品質保証機構□,,日本品質保証機構□,,,,,
741156,日本ﾌｨﾗｲﾄ□,,日本ﾌｨﾗｲﾄ□,,,,,
741162,日本軽金属株式会社 船橋工場,景観業務課 長谷川,日本軽金属,ﾆﾎﾝｹｲｷﾝｿﾞｸ,275-0001,千葉県習志野市東習志野6-18-3,047-477-3897,047-477-6294
741166,日本ﾒｯｼｭ□,,日本ﾒｯｼｭ□,,,,,
741171,日本ｼﾞｯﾊﾟｰﾁｭｰﾋﾞﾝｸﾞ株式会社,第一工場,日本ｼﾞｯﾊﾟｰﾁｭｰﾋﾞﾝｸﾞ,ﾆﾎﾝｼﾞｯﾊﾟｰﾁ,,神戸市西区高塚台3丁目2番56,078-991-4172,078-991-8115
741181,日本食品ｻﾝﾌﾟﾙｱｰﾄ協会　　　741181,,日本食品ｻﾝﾌﾟﾙｱｰﾄ協会,ﾆﾎﾝｼｮｸﾋﾝｻﾝ,188-0011,東京都西東京市田無町4-16-3,042-463-5752,042-463-5752
741186,ﾆｭｰﾛﾝｸﾞ小樽□,,ﾆｭｰﾛﾝｸﾞ小樽□,,,,,
741191,日本ｾｷｿｰ株式会社,,日本ｾｷｿｰ,ﾆﾎﾝｾｷｿｰｶﾌﾞ,509-8301,岐阜県中津川市蛭川5328-1,0573-46-0211,0573-45-3855
741201,有限会社日本美術 熊本,,日本美術 熊本,ﾆﾎﾝﾋﾞｼﾞｭﾂｸ,860-0862,熊本県熊本市中央区黒髪3-10-30,096-344-2411,096-344-2413
741211,有限会社日本美術 久留米店,,日本美術 久留米,ﾆﾎﾝﾋﾞｼﾞｭﾂｸ,830-0042,福岡県久留米市荘島町430-3,0942-33-5418,0942-33-5418
741221,有限会社日本美術 佐世保,,日本美術 佐世保,ﾆﾎﾝﾋﾞｼﾞｭﾂｻ,859-3215,佐世保市早岐2-40-14,0956-38-1962,1956-38-1344
741231,株式会社日本触媒,,株式会社日本触媒,ﾆﾎﾝｼｮｸﾊﾞｲ,564-0034,大阪府吹田市西御旅町5-8,06-6317-2307,06-6317-4293
741241,ﾆｯﾄｰ　　　　　　741241,,ﾆｯﾄｰ,ﾆｯﾄｰ,230-0073,神奈川県横浜市鶴見区獅子ｹ谷2-39-39,045-573-4575,045-573-4575
742011,沼津ｻﾝﾌﾟﾙ製作所,,沼津ｻﾝﾌﾟﾙ製作所,ﾇﾏﾂﾞｻﾝﾌﾟﾙ,410-0057,静岡県沼津市高沢町15-8,055-921-3931,055-921-3936
743012,ﾈﾎﾟﾝ株式会社,,ﾈﾎﾟﾝ,ﾈﾎﾟﾝ,243-0215,神奈川県厚木市上古沢４１１,046-247-3180,046-248-6317
744011,有限会社野口商事,,野口商事,ﾉｸﾞﾁｼｮｳｼﾞ,170-0013,東京都豊島区東池袋2-53-5,03-3971-6880,03-3971-0986
744015,ﾉｰﾄﾞｿﾝ□,,ﾉｰﾄﾞｿﾝ□,,,,,
744021,ﾉﾓﾄ通商株式会社,,ﾉﾓﾄ通商,ﾉﾓﾄﾂｳｼｮｳ,614-8366,京都府八幡市男山泉14-8 林第二ﾋﾞﾙ301号,075-925-8130,075-925-8165
744025,ﾉﾀﾞ□,,ﾉﾀﾞ□,,,,,
750011,株式会社ﾊｷﾞﾃｯｸ,,ﾊｷﾞﾃｯｸ,ﾊｷﾞﾃｯｸ,284-0001,千葉県四街道市大日246-7,043-423-8741,043-423-8684
750016,ﾊｰﾍﾞｽ□,,ﾊｰﾍﾞｽ□,,,,,
750021,株式会社畑中         750021,,株式会社畑中,ﾊﾀﾅｶ,359-1145,埼玉県所沢市山口748-4,04-2923-8131,04-2928-5326
750025,ﾊｷﾞﾉ機工□,,ﾊｷﾞﾉ機工□,,,,,
750031,ﾊﾟﾅｿﾆｯｸ ｽｲｯﾁｷﾞｱｼｽﾃﾑｽﾞ株式会社#,,ﾊﾟﾅｿﾆｯｸ ｽｲｯﾁｷﾞｱｼｽﾃﾑｽ,ﾊﾟﾅｿﾆｯｸ ｽｲ,488-8520,愛知県尾張旭市三郷町角田1123,0561-54-4159,0561-54-1216
750041,ﾊﾟﾅｿﾆｯｸ株式会社ﾗｲﾌｿﾘｭｰｼｮﾝｽﾞ社 ｿﾘｭｰｼｮﾝ開発本部,ﾗｲﾃｨﾝｸﾞ開発ｾﾝﾀｰ 秋山様,ﾊﾟﾅｿﾆｯｸ(株) ﾗｲﾌｿﾘｭｰｼｮﾝｽﾞ社,ﾊﾟﾅｿﾆｯｸﾗｲﾌ,571-8686,大阪府門真市門真１０４８番地,06-6908-7362,
750055,ﾊﾏｸﾞﾁﾕｷﾊﾙ□,,ﾊﾏｸﾞﾁﾕｷﾊﾙ□,,,,,
750061,ﾊﾟﾅｿﾆｯｸｴｺｼｽﾃﾑｽﾞ㈱IAQBU日本市場,技術部 換気開発部 清水達貴,ﾊﾟﾅｿﾆｯｸ ｴｺｼｽﾃﾑｽﾞ,ﾊﾟﾅｿﾆｯｸｴｺ,486-0000,愛知県春日井市鷹来町4017,050-3787-1946,0568-83-8198
750065,林金属工業□,,林金属工業□,,,,,
750081,ﾊﾟﾅｯｸ株式会社 財務経理部,,ﾊﾟﾅｯｸ(請求),ﾊﾟﾅｯｸ,108-0014,東京都港区芝5丁目31-19ｵｰｴｯｸｽ田町ﾋﾞﾙ,03-5442-8692,03-5442-2064
750091,ﾊﾟﾅｯｸ株式会社 資材部,,ﾊﾟﾅｯｸ,ﾊﾟﾅｯｸ,108-0014,東京都港区芝5丁目31-19ｵｰｴｯｸｽ田町ﾋﾞﾙ,03-5442-8740,03-5442-8177
750101,ﾊﾟﾅﾚｰｻｰ株式会社,,ﾊﾟﾅﾚｰｻｰ,ﾊﾟﾅﾚｰｻｰ,669-3464,兵庫県氷上郡氷上町石生250松尾様,0795-82-6563,0795-82-6201
750106,ﾊﾞﾝﾀﾞﾏﾁｯｸｻｰﾋﾞｽ□,,ﾊﾞﾝﾀﾞﾏﾁｯｸｻｰﾋﾞｽ□,,,,,
750112,ﾊﾋﾟｰｵｰﾙ株式会社,,ﾊﾋﾟｰｵｰﾙ,ﾊﾋﾟｰｵｰﾙ,072-0007,美唄市東6条北7丁目1-19,0126-63-3900,0126-63-3926
750115,ﾊﾞﾝﾄﾞｰ□,,ﾊﾞﾝﾄﾞｰ□,,,,,
750121,HUBSHIP株式会社,,HUBSHIP,ﾊﾌﾞｼｯﾌﾟ,110-0005,東京都台東区上野4-5-11安富ビル3階,08044673344,03-5826-4337
750132,株式会社浜国,,浜国,ﾊﾏｸﾆ,003-0835,札幌市白石区北郷5条6丁目3-5,011-872-2772,011-872-2749
750152,株式会社浜国 営業本部 岡田,,浜国 営業本部 ｵｶﾀﾞ,ﾊﾏｸﾆ ｵｶﾀﾞ,541-0043,大阪府大阪市中央区高麗橋4-2-16-902　大阪朝日生命館,06-6223-8092,06-6223-7575
750162,株式会社浜国 大阪営業所 谷口,,浜国 大阪営業所 谷口,ﾊﾏｸﾆ ﾀﾆｸﾞﾁ,541-0043,大阪府大阪市中央区高麗橋4-2-16-902　大阪朝日生命館,06-6223-8092,06-6223-7575
750172,株式会社浜田商会,,浜田商会,ﾊﾏﾀﾞｼｮｳｶｲ,537-0001,大阪府大阪市東成区深江北1丁目7-12,06-6974-9901,06-6974-9955
750181,繁和産業株式会社,,繁和産業,ﾊﾝﾜｻﾝｷﾞｮｳ,541-0046,大阪府大阪市中央区平野町2-5-8,06-6222-5521,06-6222-5580
750192,八丸加藤株式会社 札幌支店,,八丸加藤,ﾊﾁﾏﾙｶﾄｳ,063-0804,北海道札幌市西区二十四軒四条2丁目2-7,011-641-2244,011-644-6145
751001,株式会社ﾋﾟｱｰｻｰﾃｨｰ　ｻﾝﾌﾟﾙ事業部　　 751001,,㈱ﾋﾟｱｰｻｰﾃｨｰ,ﾋﾟｱｰｻｰﾃｨｰ,710-0065,岡山県倉敷市宮前418-3,086-426-1473,086-426-1488
751015,ﾋｰｽｴﾝｼﾞﾆｱﾘﾝｸﾞ□,,ﾋｰｽｴﾝｼﾞﾆｱﾘﾝｸﾞ□,,,,,
751045,ひらの□,,ひらの□,,,,,
751076,広瀬建設工業□,,広瀬建設工業□,,,,,
752015,富士黒鉛工業㈱　□,,富士黒鉛工業㈱　□,,,,,
752022,ﾌｸﾋﾞ化学工業株式会社 ﾒﾙﾂｴﾝ営業所,,ﾌｸﾋﾞ化学工業 札幌,ﾌｸﾋﾞｶｶﾞｸ,004-0041,札幌市厚別区大谷地東2-4-1札幌市交通局本局庁舎1F,011-896-7500,011-896-5530
752031,富士化学産業株式会社,,富士化学産業,ﾌｼﾞｶｶﾞｸｻﾝｷ,577-0012,大阪府東大阪市長田東3丁目1番7号,06-6744-8800,06-6744-8840
752035,福西産業□,,福西産業□,,,,,
752045,福山通運□,,福山通運□,,,,,
752051,双葉実業株式会社,,双葉実業,ﾌﾀﾊﾞｼﾞﾂｷﾞｮ,577-0013,東大阪市長田中4-4-7,06-6748-2835,06-6748-2834
752056,北海道福山通運□,,北海道福山通運□,,,,,
752061,双葉実業株式会社,,双葉実業(請求書),ﾌﾀﾊﾞｼﾞﾂｷﾞｮ,542-0082,大阪府大阪市中央区島之内1-12-23,06-6252-3680,06-6271-2000
752082,ﾌﾗｯﾄ合成株式会社 川原,,ﾌﾗｯﾄ合成,ﾌﾗｯﾄｺﾞｳｾｲ,007-0826,札幌市東区東雁来6条2丁目5-25,011-784-4020,011-784-3103
752095,富士商工ﾏｼﾅﾘｰ□,,富士商工ﾏｼﾅﾘｰ□,,,,,
752116,富士ｾﾞﾛｯｸｽ北海道□,,富士ｾﾞﾛｯｸｽ北海道□,,,,,
752125,ﾌﾀﾊﾞｺｰﾎﾟﾚｰｼｮﾝ□,,ﾌﾀﾊﾞｺｰﾎﾟﾚｰｼｮﾝ□,,,,,
752136,ﾌﾁｵｶ北海道□,,ﾌﾁｵｶ北海道□,,,,,
752142,株式会社FUJIｼﾞｬﾊﾟﾝ,,FUJIｼﾞｬﾊﾟﾝ,ﾌｼﾞｼﾞｬﾊﾟﾝ,060-0041,北海道札幌市中央区大通東4丁目4-18,011-209-2005,011-209-2008
752166,富士ｾﾞﾛｯｸｽ北海道□,,富士ｾﾞﾛｯｸｽ北海道□,,,,,
753001,平安伸銅工業株式会社　福田様,,平安伸銅工業株式会社,ﾍｲｱﾝｼﾝﾄﾞｳｺ,5500002,大阪府大阪市西区江戸堀1丁目22-17船場辰巳ビル4階,06-6228-8986,06-6147-7303
754022,有限会社ﾎﾞｰﾀﾞｯｸ HOBBYNET 太田,,ﾎﾞｰﾀﾞｯｸ HOBBYNET,ﾎﾞｰﾀﾞｰﾀﾞｯｸ,342-0034,埼玉県吉川市道庭1-11-3,048-984-4307,048-984-4308
754025,ﾎｰﾗｲ大阪□,,ﾎｰﾗｲ大阪□,,,,,
754032,北斗化成商事株式会社,,北斗化成商事,ﾎｸﾄｶｾｲ,004-0864,札幌市清田区北野4条3丁目11-17,011-881-7492,011-882-6309
754052,北部通信工業株式会社,,北部通信工業,ﾎｸﾌﾞﾂｳｼﾝｺｳ,960-8154,福島県福島市伏拝字沖27-1,024-545-2295,024-546-5551
754056,北斗ｺﾞﾑ□,,北斗ｺﾞﾑ□,,,,,
754062,株式会社北友,,北友,ﾎｸﾕｳ,007-0837,札幌市東区北37条東27丁目7-1,011-785-5633,011-785-3766
754072,株式会社北陽 北海道支社,,北陽 北海道支社,ﾎｸﾖｳ,007-0841,札幌市東区北41条東3丁目3-10陽和ﾋﾞﾙ,011-711-7105,011-711-2220
754082,株式会社北陽 三笠工場,,北陽 三笠工場,ﾎｸﾖｳ ﾐｶｻ,068-2165,三笠市岡山1113-5,01267-4-2118,
754086,北海樹脂興業□,,北海樹脂興業□,,,,,
754092,株式会社北冷製作所,,北冷製作所,ﾎｸﾚｲｾｲｻｸｼｮ,067-0051,江別市工栄町21-11,011-384-5111,011-385-0400
754096,北海道通商□,,北海道通商□,,,,,
754101,株式会社 ﾎｼﾓﾄ,商品管理課商品管理,ﾎｼﾓﾄ,ﾎｼﾓﾄ,544-0032,大阪府大阪市生野区中川西2丁目24-32,06-6741-4723,06-6715-8515
754106,北海道ｴﾈﾙｷﾞｰ□,,北海道ｴﾈﾙｷﾞｰ□,,,,,
754112,株式会社北海化成ｻｰﾋﾞｽ,,北海化成ｻｰﾋﾞｽ,ﾎｯｶｲｶｾｲｻｰﾋ,003-0024,札幌市白石区本郷通12丁目南3-15,011-865-3681,011-865-3688
754116,北海道急行運輸□,,北海道急行運輸□,,,,,
754122,北海道ｶﾞｿﾝ株式会社,鈴蘭ｶﾞﾚｰｼﾞ事業部,北海道ｶﾞｿﾝ鈴蘭ｶﾞﾚｰｼﾞ,ﾎｯｶｲﾄﾞｳｶﾞｿ,063-0029,札幌市西区平和335番地,011-661-3410,011-661-3482
754132,北海道不二ｻｯｼ株式会社 住宅建材部 菊地,,北海道不二ｻｯｼ住宅,ﾌｼﾞｻｯｼ,060-0061,札幌市中央区南1条西12丁目4-89,011-261-8551,011-281-1742
754135,本田機販□,,本田機販□,,,,,
754142,北海道ｽｲｺｰ株式会社,砂川工場･製造部,北海道ｽｲｺｰ,ﾎｯｶｲﾄﾞｳｽｲｺ,073-0167,北海道砂川市西七条北22丁目124-8,0125-53-1101,0125-53-1102
760016,正久□,,正久□,,,,,
760022,松浦ﾃｸﾞｽ株式会社,,松浦ﾃｸﾞｽ,ﾏﾂｳﾗﾃｸﾞｽ,550-0005,大阪府大阪市西区西本町1-14-6,06-6531-0686,06-6541-7563
760035,松井製作所□,,松井製作所□,,,,,
760041,丸信化工株式会社,,丸信化工,ﾏﾙｼﾝｶｺｳ,111-0053,東京都台東区浅草橋4-15-4,03-3866-2831,03-3866-3365
760051,丸全ｺﾞﾑ株式会社,,丸全ｺﾞﾑ,ﾏﾙｾﾞﾝｺﾞﾑ,547-0011,大阪市平野区長吉出戸7-2-57,06-6790-1641,06-6790-1649
760055,松岡ｶｯﾀｰ□,,松岡ｶｯﾀｰ□,,,,,
760076,松岡満□,,松岡満□,,,,,
760086,松岡満美唄□,,松岡満美唄□,,,,,
760095,松昇□,,松昇□,,,,,
760105,松田環境□,,松田環境□,,,,,
760111,株式会社ﾏｼﾞｯｸｽﾎﾞｯｸｽJP,,株式会社ﾏｼﾞｯｸｽﾎﾞｯｸｽJP,ﾏｼﾞｯｸｽﾎﾞｯｸ,661-0984,兵庫県尼崎市御園1丁目21-26,06-4950-0618,
760126,松村合金ﾀﾞｲｽ□,,松村合金ﾀﾞｲｽ□,,,,,
760186,ﾏﾙｷﾝ機鋼□,,ﾏﾙｷﾝ機鋼□,,,,,
760195,丸安産業□,,丸安産業□,,,,,
760201,株式会社松山,,株式会社松山,ﾏﾂﾔﾏ,577-0005,大阪府東大阪市七軒家18-36,06-6744-7555,06-6744-7311
761011,有限会社ﾐﾀｻﾝﾌﾟﾙ,,ﾐﾀｻﾝﾌﾟﾙ,ﾐﾀｻﾝﾌﾟﾙ,352-0011,埼玉県新座市野火止6-17-23,048-477-9762,
761031,水戸暖冷工業株式会社,,水戸暖冷工業,ﾐﾄﾀﾞﾝﾚｲｺｳｷ,311-3115,茨木県東茨城郡茨城町前田1680,029-292-0811,029-240-7009
761041,ﾐﾅﾄ医科学株式会社　　　　　#, 西紀工場　購買担当　加藤様,ﾐﾅﾄ医科学,ﾐﾅﾄｲｶｶﾞ,669-2735,兵庫県篠山市川西137番地,079-590-8002,079-590-8004
761045,美治紙器□,,美治紙器□,,,,,
761051,ﾐﾅﾄ･ｱﾄﾞﾊﾞﾝｽﾄ･ﾃｸﾉﾛｼﾞｰｽﾞ株式会社,,ﾐﾅﾄ･ｱﾄﾞﾊﾞﾝｽﾄ･ﾃｸﾉﾛｼﾞｰｽﾞ,ﾐﾅﾄｱﾄﾞﾊﾞﾝｽ,224-0026,横浜市都筑区南山田町4105番地,045-592-5546,045-591-9389
761061,株式会社みなとｻﾝﾌﾟﾙ　　761042,,みなとｻﾝﾌﾟﾙ,ﾐﾅﾄｻﾝﾌﾟﾙ,231-0011,神奈川県横浜市中区太田町2-21-1 SUB-BLD3F,045-227-5360,045-227-5361
761062,株式会社ﾐﾅﾐ 八戸工場,,ﾐﾅﾐ 八戸工場,ﾐﾅﾐ,039-0811,青森県八戸市市川町桔梗野上19-82,0178-38-1565,0178-38-1566
761071,ﾐﾔｺ化学株式会社　名古屋,,ﾐﾔｺ化学(株)名古屋,ﾐﾔｺｶｶﾞｸ,460-0003,愛知県名古屋市中区錦1-17-26ﾗｳﾝﾄﾞﾃﾗｽ伏見 2F,052-221-8231,052-221-8237
761081,ﾐﾔｺ化学株式会社 大阪支社, 産業資材部,ﾐﾔｺ化学(株) 大阪支社 産業資材部,ﾐﾔｺｶｶﾞｸｶﾌﾞ,541-0047,大阪府大阪市中央区淡路町1丁目7番3号日土地堺筋ﾋﾞﾙ7階,06-7711-7844,06-7711-7843
761082,ﾐﾔｺ化学株式会社 札幌営業所,,ﾐﾔｺ化学 札幌営業所,ﾐﾔｺｶｶﾞｸ,064-0917,札幌市中央区北1条東2丁目5番3塚本ﾋﾞﾙ北1館5階,011-806-0385,011-806-0386
