仕入先ｺｰﾄﾞ,仕入先名１,仕入先名２,仕入先名略称,仕入先名索引,郵便番号,住所１住所２,電話番号,ＦＡＸ番号
760126,株式会社松村合金ﾀﾞｲｽ研究所,,松村合金ﾀﾞｲｽ研究所,ﾏﾂﾑﾗｺﾞｳｷﾝ,579-8031,大阪府東大阪市豊浦町2番2号,072-988-1115,072-987-8643
760135,松村石油株式会社,,松村石油,ﾏﾂﾑﾗｾｷﾕﾑﾗﾛ,530-0047,大阪府大阪市北区西天満2丁目8番5号,06-6361-7777,06-6364-5083
760186,ﾏﾙｷﾝ機鋼株式会社,,ﾏﾙｷﾝ機鋼,ﾏﾙｷﾝ,061-3241,石狩市新港西1丁目719-17,0133-73-1300,0133-73-6698
760195,丸安産業株式会社,,丸安産業,ﾏﾙﾔｽｻﾝｷﾞｮｳ,541-0045,大阪府大阪市中央区道修町1-7-1北浜TNKﾋﾞﾙ11階,06-6203-3194,06-6203-1738
761045,株式会社美治紙器工業所,,美治紙器工業所//,ﾐﾊﾙｼｷｺｳｷﾞｮ,571-0012,門真市江端町12-12,072-884-0051,072-884-8470
761061,みなとサンプル　■,,みなとサンプル　■,,,,,
761071,ﾐﾔｺ化学株式会社,東京合成樹脂課 谷田,ﾐﾔｺ化学,ﾐﾔｺｶｶﾞｸ,102-0074,東京都千代田区九段南1丁目6-17千代田会館6階,03-6685-0412,03-6685-0413
762016,武藤工業株式会社 北海道営業所,,武藤工業 北海道(営）,ﾑﾄｳｺｳｷﾞｮｳ,062-0000,札幌市豊平区中の島1条1丁目2-25,011-820-2201,
763016,名鉄運輸株式会社,,名鉄運輸,ﾒｲﾃﾂ,003-0859,札幌市白石区川北2246-3,011-871-2210,
764035,森村商事株式会社,,森村商事,ﾓﾘﾑﾗｼｮｳｼﾞ,541-0056,大阪市中央区久太郎町3-6-8御堂筋ﾀﾞｲﾜﾋﾞﾙ5F,06-4704-5416,06-6244-5762
764056,もりや産業株式会社,,もりや産業,ﾓﾘﾔｻﾝｷﾞｮｳ,003-0012,札幌市白石区中央2条3-9-20札幌ﾃｸﾉｾﾝﾀｰ103号,011-598-8078,03-5626-3741
764066,森六ｹﾐｶﾙｽﾞ株式会社,,森六ｹﾐｶﾙｽﾞ,ﾓﾘﾛｸｹﾐｶﾙｽﾞ,060-0033,札幌市中央区北3条東3丁目1-30KNﾋﾞﾙ5階,011-222-6313,011-222-7293
770000,ﾔﾏﾄ運輸株式会社 使用ｼﾅｲ,,ﾔﾏﾄ運輸 ｴｷｽﾌﾟﾚｽ,ﾔﾏﾄｳﾝﾕｴｷｽﾌ,577-0012,東大阪市長田東3-5-6,06-4309-2288,06-4309-2280
770010,ﾔﾏﾄ運輸株式会社 使用ｼﾅｲ,,ﾔﾏﾄ運輸大阪　使用ｼﾅｲ,ﾔﾏﾄ,572-0075,大阪府寝屋川市葛原1-32-16,072-801-6136,
770011,山本産業㈱　■,,山本産業,ﾔﾏﾓﾄｻﾝｷﾞｮｳ,,,,
770025,山口産業株式会社,,山口産業,ﾔﾏｸﾞﾁｻﾝｷﾞｮ,540-0004,大阪府大阪市中央区玉造1-20-10,06-6768-0800,
770036,有限会社ﾔﾏｺｰ,,ﾔﾏｺｰ,ﾔﾏｺｰ,002-8032,札幌市北区西茨戸2条1丁目2-3,011-773-4474,011-774-4759
770045,山田会計事務所,,山田会計事務所,ﾔﾏﾀﾞｶｲｹｲｼﾞ,543-0001,大阪府大阪市天王寺区上本町6-9-14上本町ﾋﾞﾙ7F,06-6774-7789,06-6774-7790
770051,山森商事株式会社,,山森商事,ﾔﾏﾓﾘｼｮｳｼﾞ,547-0002,大阪府大阪市平野区加美東4-18-6,06-6791-0600,06-6791-0647
770065,ﾔﾏﾄ運輸株式会社　大東太子田ｾﾝﾀｰ,,ﾔﾏﾄ運輸　大東太子田ｾﾝﾀｰ,ﾔﾏﾄｳﾝﾕ,612-8246,京都府京都市伏見区横大路芝生10-1（請求書）,072-655-8241,
770075,ﾔﾏﾄﾎﾞｯｸｽﾁｬｰﾀｰ株式会社 北大阪支店,,ﾔﾏﾄﾎﾞｯｸｽﾁｬｰﾀｰ株式会社 北大阪支店,ﾔﾏﾄｳﾝﾕﾎﾞｯｸ,567-0028,大阪府茨木市畑田町20-1,072-631-3551,072-631-3552
770085,大和技研,,大和技研,ﾔﾏﾄｷﾞｹﾝ,583-0009,大阪府藤井寺市西大井2-272-1,0729-52-2837,0729-52-8459
770101,大和サンプル製作所　■,,大和サンプル製作所,ﾔﾏﾄｻﾝﾌﾟﾙｾｲ,,,,
770111,ヤマトウ　■,,ヤマトウ　■,,,,,
772025,有限会社ﾕﾀｶ製作所,,ﾕﾀｶ製作所,ﾕﾀｶｾｲｻｸｼｮ,581-0044,大阪府八尾市木の本2-19,0729-23-7727,0729-23-7737
772031,ﾕｱｻ化成株式会社　機能樹脂事業部,,ﾕｱｻ化成,ﾕｱｻｶｾｲ,601-8315,京都府京都市南区吉祥院車道町48番地,075-748-6515,075-748-6516
772036,株式会社ﾕﾆｵﾝｺｰﾎﾟﾚｰｼｮﾝ,,ﾕﾆｵﾝｺｰﾎﾟﾚｰｼｮﾝ,ﾕﾆｵﾝ,273-0025,千葉県船橋市印内町628-1,0474-33-5861,0474-33-5877
772046,株式会社ﾕﾆｵﾝｺｰﾎﾟﾚｰｼｮﾝ　東京支店,,ﾕﾆｵﾝｺｰﾎﾟﾚｰｼｮﾝ,ﾕﾆｵﾝｺｰﾎﾟﾚｰ,144-0033,東京都大田区東糀谷3-13-11,03-5735-1300,03-5735-1231
772056,株式会社ﾕﾆｺﾛﾝ,,ﾕﾆｺﾛﾝ,ﾕﾆｺﾛﾝ,001-0934,札幌市北区新川西4条4丁目2-5,011-792-5100,011-792-5170
772066,ﾕﾆﾌｫｰﾑ北海道株式会社,,ﾕﾆﾌｫｰﾑ北海道,ﾕﾆﾌｫｰﾑ,003-0025,札幌市白石区本郷通2丁目北2番9号,011-846-0891,011-860-2128
774011,横浜食品さんぷる教室■,,横浜食品さんぷる教室■,,,,,
774021,ヨツギ㈱　■,,ヨツギ㈱,,,,,
774026,株式会社吉田SKT 大阪営業所,,吉田SKT 大阪営業,ﾖｼﾀﾞｴｽｹｰﾃｨ,536-0007,大阪府大阪市城東区成育4丁目9-14,06-6933-5123,06-6933-8338
780015,ﾗﾝｽﾀｯﾄﾞ株式会社,,ﾗﾝｽﾀｯﾄﾞ,ﾗﾝｽﾀｯﾄﾞ,542-0076,大阪府大阪市中央区難波3-6-11なんば池田ﾋﾞﾙ6F,06-6641-9130,06-6641-9190
781016,理興産業株式会社,,理興産業 美唄,ﾘｺｳ,060-0031,札幌市中央区北1条3丁目,011-221-2191,011-211-8207
781026,理興産業株式会社 札幌支店,,理興産業 石狩,ﾘｺｳｻﾝｷﾞｮｳ,003-0806,札幌市白石区菊水6条2丁目3番10号,011-820-1000,011-8188181
781032,株式会社ﾘｯﾁｪﾙ,,ﾘｯﾁｪﾙ,ﾘｯﾁｪﾙ,939-0592,富山県富山市水橋桜木136,076-478-2155,076-478-5335
781055,株式会社ﾘｰﾁ,,ﾘｰﾁ,ﾘｰﾁ,590-0076,大阪府堺市堺区北瓦町2-3-21-402,072-230-4592,072-230-4593
783011,レジーナ　■,,レジーナ　■,,,,,
783016,ﾚﾝｺﾞｰ株式会社,,ﾚﾝｺﾞｰ,ﾚﾝｺﾞｰ,061-1405,恵庭市戸磯193番3,0123-39-3211,0123-32-0127
790015,YKKﾌｧｽﾆﾝｸﾞﾌﾟﾛﾀﾞｸﾂ販売株式会社,,YKKﾌｧｽﾆﾝｸﾞﾌﾟﾛﾀﾞｸﾂ販,ﾜｲｹｲｹｲﾌｧｽ,540-0012,大阪府大阪市中央区谷町4丁目8-7 YFﾋﾞﾙ,06-6941-4110,
790025,日鋼YPK商事株式会社,,日鋼YPK商事,ﾜｲﾋﾟｰｹｲ,564-0051,吹田市豊津町4-5 第二丸萬ﾋﾞﾙ,06-6310-8180,
790035,株式会社ﾜｲﾒｯｸｽ,,ﾜｲﾒｯｸｽ,ﾜｲﾒｯｸｽ,574-0064,大阪府大東市御領1丁目8番35号,072-872-1415,072-872-3031
790045,和歌山ｺﾞﾑ工業株式会社,,和歌山ｺﾞﾑ工業,ﾜｶﾔﾏｺﾞﾑｺｳｷ,640-0424,和歌山県紀ﾉ川市貴志川町井ﾉ口1477,0736-65-1020,0736-65-1021
790051,合同会社ﾜｯｶﾗﾎﾞ,,ﾜｯｶﾗﾎﾞ,ﾜｯｶﾗﾎﾞ,573-1182,大阪府枚方市御殿山町16-9-B1,050-6870-4667,
790056,株式会社ﾜｺｰ,,ﾜｺｰ,ﾜｺｰ,047-0261,小樽市銭箱3丁目511番地7,0134-62-3515,0134-62-3546
